id,sequence,year,type,social_event,title,date,time,organization,subject1,subject2,keywords
D007C,701,2005,Division or Discussion Group,,Ethnicity in the Capital,30-DEC-05,10:15+11:30 a.m.,Ethnic Studies in Language and Literature,American Literature,General,
D070B,480,2005,Division or Discussion Group,,Africa in the Modern Spanish Imaginary,29-DEC-05,1:45+3:00 p.m.,Twentieth-Century Spanish Literature,Spanish Literature,Twentieth Century,
D034A,65,2005,Division or Discussion Group,,"Letters and Literary Texts, Letters in Literary Texts $cI$k",27-DEC-05,7:00+8:15 p.m.,European Literary Relations,General Literature,Literary Relations,
M014A,187,2005,MLA Organization,,Open Hearing on Resolutions,28-DEC-05,12:00 noon+1:15 p.m.,Delegate Assembly Organizing Committee,The Profession,General,
M014B,242,2005,MLA Organization,,Open Hearing of the Delegate Assembly,28-DEC-05,1:45+3:00 p.m.,Delegate Assembly Organizing Committee,The Profession,General,
D058A,666,2005,Division or Discussion Group,,The Presence of the Past $cII$k: Myths and Metaphors,30-DEC-05,8:30+9:45 a.m.,German Literature to 1700,German Literature,Before 1700,
D015A,322,2005,Division or Discussion Group,,Knowledge Communities in African Literary and Cultural Studies: Pedagogies,28-DEC-05,7:15+8:30 p.m.,,,,
D026B,237,2005,Division or Discussion Group,,War,28-DEC-05,1:45+3:00 p.m.,Seventeenth-Century English Literature,British Literature,Seventeenth Century,
D070A,182,2005,Division or Discussion Group,,Immigration to Spain: Cultural Representations,28-DEC-05,12:00 noon+1:15 p.m.,Twentieth-Century Spanish Literature,Spanish Literature,Twentieth Century,
D081A,110,2005,Division or Discussion Group,,Situated Rhetorics,28-DEC-05,8:30+9:45 a.m.,the History and Theory of Rhetoric and Composition,General Literature,Rhetoric and Rhetorical Theory,
A046A,441,2005,Allied Organization,,Historical Frost,29-DEC-05,12:00 noon+1:15 p.m.,Robert Frost Society,American Literature,Twentieth Century,
M012A,181,2005,MLA Organization,,"Editing Is Interpretation: Dynamics of Literary History, Literary Theory $cI$k",28-DEC-05,12:00 noon+1:15 p.m.,Committee on Scholarly Editions,The Profession,Publishing and Editing,
A053B,713,2005,Allied Organization,,Hemingway's Global and Sexual Politics,30-DEC-05,12:00 noon+1:15 p.m.,Ernest Hemingway Foundation and Society,American Literature,Twentieth Century,
A074B,308,2005,Allied Organization,Y,"Dinner, Cash Bar, Business Meeting, and Gam Arranged by the Melville Society",28-DEC-05,6:00 p.m.,Melville Society,American Literature,Before 1900,
D051D,306,2005,Division or Discussion Group,Y,Medieval French Literature Cash Bar Arranged by the Division on French Medieval Language and Literature and the International Arthurian Society,28-DEC-05,5:15+6:30 p.m.,French Medieval Language and Literature,French Literature,Medieval and Renaissance,
D011D,307,2005,Division or Discussion Group,Y,Cash Bar Arranged by the Division on Poetry,28-DEC-05,5:15+6:30 p.m.,Poetry,General Literature,Poetry,
D077D,305,2005,Division or Discussion Group,Y,"Cash Bar Arranged by the Division on Autobiography, Biography, and Life Writing",28-DEC-05,5:15+6:30 p.m.,"Autobiography, Biography, and Life Writing",General Literature,Nonfictional Prose,
A035C,421,2005,Allied Organization,Y,Luncheon Arranged by the Conference on Christianity and Literature,29-DEC-05,12:00 noon,,,,
D052D,556,2005,Division or Discussion Group,Y,Cash Bar Arranged by the Divisions on Sixteenth- and Seventeenth-Century French Literature,29-DEC-05,5:15+6:30 p.m.,Seventeenth-Century French Literature,French Literature,Seventeenth Century,
A054A,180,2005,Allied Organization,,Langston Hughes: Writer without Borders $cI$k,28-DEC-05,12:00 noon+1:15 p.m.,Langston Hughes Society,American Literature,Twentieth Century,
D021D,291,2005,Division or Discussion Group,Y,Cash Bar Arranged by the Division on Old English Language and Literature,28-DEC-05,5:15+6:30 p.m.,Old English Language and Literature,British Literature,Old and Middle English,
A048B,304,2005,Allied Organization,Y,Cash Bar Arranged by the GL/Q Caucus for the Modern Languages,28-DEC-05,5:15+6:30 p.m.,GL/Q Caucus for the Modern Languages,General Literature,Literary Criticism and Theory/Gay,
A048C,564,2005,Social Event,Y,Reception at Lambda Rising Bookstore Arranged by GL/Q Caucus for the Modern Languages,29-DEC-05,7:00 p.m.,GL/Q Caucus for the Modern Languages,General Literature,Literary Criticism and Theory/Gay,
D004C,61,2005,Division or Discussion Group,,Dromocracy and Acceleration,27-DEC-05,7:00+8:15 p.m.,Comparative Studies in Twentieth-Century Literature,Comparative Literature,Twentieth Century,
D078D,292,2005,Division or Discussion Group,Y,Cash Bar Arranged by the Division on Colonial Latin American Literatures,28-DEC-05,5:15+6:30 p.m.,,,,
D054D,310A,2005,Division or Discussion Group,Y,Cash Bar and Dinner Arranged by the Division on Eighteenth-Century French Literature,28-DEC-05,7:00 p.m.,Eighteenth-Century French Literature,French Literature,Eighteenth and Nineteenth Centuries,
A112C,561,2005,Allied Organization,Y,Party and Business Meeting Arranged by the International Virginia Woolf Society,29-DEC-05,6:30 p.m.,International Virginia Woolf Society,British Literature,Twentieth Century,
M022C,665,2005,MLA Organization,,Textual Analysis:  What's Data Got to Do with It?,30-DEC-05,8:30+9:45 a.m.,Committee on Information Technology,General Literature,"Electronic Technology (Teaching, Research, and Theory)",
M014C,460,2005,MLA Organization,,MLA Delegate Assembly,29-DEC-05,1:00 p.m.,Delegate Assembly,The Profession,General,
D057A,396,2005,Division or Discussion Group,,Traveling Diasporas,29-DEC-05,10:15+11:30 a.m.,Francophone Literatures and Cultures,Francophone Literature,General,
D003C,576,2005,Division or Discussion Group,,Humanitarianism and Human Rights $cII$k,29-DEC-05,7:15+8:30 p.m.,Comparative Studies in Romanticism and the Nineteenth Century,Comparative Literature,Eighteenth and Nineteenth Centuries,
A015B,719,2005,Allied Organization,,Professional Communication $cII$k:  Looking into the Future,30-DEC-05,12:00 noon+1:15 p.m.,,,,
D077C,668,2005,Division or Discussion Group,,Web Logs as Witness,30-DEC-05,8:30+9:45 a.m.,"Autobiography, Biography, and Life Writing",General Literature,Nonfictional Prose,
D059A,83,2005,Division or Discussion Group,,Border Crossings $cI$k: Interdisciplinary Crossings,27-DEC-05,8:45+10:00 p.m.,Eighteenth- and Early-Nineteenth-Century German Literature,German Literature,Eighteenth and Early Nineteenth Centuries,
D059B,241,2005,Division or Discussion Group,,Border Crossings $cII$k: National Boundaries,28-DEC-05,1:45+3:00 p.m.,Eighteenth- and Early-Nineteenth-Century German Literature,German Literature,Eighteenth and Early Nineteenth Centuries,
D059C,533,2005,Division or Discussion Group,,Border Crossings $cIII$k: Eighteenth-Century Boundaries,29-DEC-05,3:30+4:45 p.m.,Eighteenth- and Early-Nineteenth-Century German Literature,German Literature,Eighteenth and Early Nineteenth Centuries,
D067B,10,2005,Division or Discussion Group,,"Textual Criticism, Philology, and Paleography",27-DEC-05,5:15+6:30 p.m.,Spanish Medieval Language and Literature,Spanish Literature,Medieval and Renaissance,
D067C,186,2005,Division or Discussion Group,,Open Session of the Division on Spanish Medieval Language and Literature,28-DEC-05,12:00 noon+1:15 p.m.,Spanish Medieval Language and Literature,Spanish Literature,Medieval and Renaissance,
D081B,669,2005,Division or Discussion Group,,Troubling the Traditions: Intersections of Literature and Composition,30-DEC-05,8:30+9:45 a.m.,the History and Theory of Rhetoric and Composition,General Literature,Rhetoric and Rhetorical Theory,
D019A,700,2005,Division or Discussion Group,,Marking Time: Temporality in American Writing,30-DEC-05,10:15+11:30 a.m.,Late-Nineteenth- and Early-Twentieth-Century American Literature,American Literature,Before 1900,
D019B,446,2005,Division or Discussion Group,,Religion and Modernity,29-DEC-05,12:00 noon+1:15 p.m.,Late-Nineteenth- and Early-Twentieth-Century American Literature,American Literature,Before 1900,
D065B,34,2005,Division or Discussion Group,,Multilingual Aesthetics,27-DEC-05,5:15+6:30 p.m.,,,,
D076B,202,2005,Division or Discussion Group,,Twentieth-Century Black Women Playwrights,28-DEC-05,12:00 noon+1:15 p.m.,Black American Literature and Culture,American Literature,General/Black,
D073B,454,2005,Division or Discussion Group,,Lying in Portuguese,29-DEC-05,12:00 noon+1:15 p.m.,,,,
D041B,696,2005,Division or Discussion Group,,War in the Arts and Literature $cII$k,30-DEC-05,10:15+11:30 a.m.,Literature and Other Arts,General Literature,"Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",
D041C,365,2005,Division or Discussion Group,,Literature and the Visual Arts: A Special Relation?,29-DEC-05,8:30+9:45 a.m.,Literature and Other Arts,General Literature,"Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",
D064B,145,2005,Division or Discussion Group,,Genealogías del Indigenismo,28-DEC-05,10:15+11:30 a.m.,,,,
D064C,617,2005,Division or Discussion Group,,"Literature, Photography, and Visual Culture in Nineteenth-Century Latin America",29-DEC-05,9:00+10:15 p.m.,,,,
D071B,525,2005,Division or Discussion Group,,Perspectivism and the _Comedia_,29-DEC-05,3:30+4:45 p.m.,Sixteenth- and Seventeenth-Century Spanish Drama,Spanish Literature,Before 1700/Drama,
D071C,78,2005,Division or Discussion Group,,Moral Philosophy and Ethics in the _Comedia_,27-DEC-05,8:45+10:00 p.m.,Sixteenth- and Seventeenth-Century Spanish Drama,Spanish Literature,Before 1700/Drama,
D075B,339,2005,Division or Discussion Group,,Heterosexuality: Queer Perspectives on Visual Culture,28-DEC-05,7:15+8:30 p.m.,Gay Studies in Language and Literature,General Literature,Literary Criticism and Theory/Gay,
D117,104,2005,Division or Discussion Group,,Postmedieval Representations of the Troubadours,28-DEC-05,8:30+9:45 a.m.,Provençal Language and Literature,Other Literatures,Provençal,
M024B,18,2005,MLA Organization,,Welcome to the MLA,27-DEC-05,5:15+6:30 p.m.,,,,
M025C,144,2005,MLA Organization,,Secularism and the State,28-DEC-05,10:15+11:30 a.m.,Executive Council,The Profession,General,
D008A,130,2005,Division or Discussion Group,,Performing the Impossible $cI$k: Transcending Definition,28-DEC-05,8:30+9:45 a.m.,Drama,General Literature,Drama,
D010C,352,2005,Division or Discussion Group,,Rules of Engagement: The Geneva Conventions from Nuremburg to Abu Ghraib,29-DEC-05,8:30+9:45 a.m.,"Nonfiction Prose Studies, Excluding Biography and Autobiography",General Literature,Nonfictional Prose,
M012B,442,2005,MLA Organization,,"Editing Is Interpretation: Dynamics of Literary History, Literary Theory $cII$k",29-DEC-05,12:00 noon+1:15 p.m.,Committee on Scholarly Editions,The Profession,Publishing and Editing,
D069B,325,2005,Division or Discussion Group,,Usable Pasts,28-DEC-05,7:15+8:30 p.m.,Eighteenth- and Nineteenth-Century Spanish Literature,Spanish Literature,Eighteenth and Nineteenth Centuries,
D069C,392,2005,Division or Discussion Group,,Investment Cultures,29-DEC-05,10:15+11:30 a.m.,Eighteenth- and Nineteenth-Century Spanish Literature,Spanish Literature,Eighteenth and Nineteenth Centuries,
A028A,715,2005,Allied Organization,,Children's Literature and Modernism,30-DEC-05,12:00 noon+1:15 p.m.,Children's Literature Association,General Literature,Children's Literature,
D078A,38,2005,Division or Discussion Group,,Latin American Colonial Studies Today,27-DEC-05,7:00+8:15 p.m.,,,,
D032A,642,2005,Division or Discussion Group,,Caught by the Empire at War: Representing Britain's Others in World Wars I and II,30-DEC-05,8:30+9:45 a.m.,Twentieth-Century English Literature,British Literature,Twentieth Century,
D091,324,2005,Division or Discussion Group,,Toward a Celtic Daybreak,28-DEC-05,7:15+8:30 p.m.,Celtic Languages and Literatures,Other Literature in English,Irish,
A062A,238,2005,Allied Organization,,Joyce's Secrets,28-DEC-05,1:45+3:00 p.m.,International James Joyce Foundation,Other Literature in English,Irish,
D101,530,2005,Division or Discussion Group,,"Transnationalism, Postcolonialism, and Hungarian Identities",29-DEC-05,3:30+4:45 p.m.,Hungarian Literature,Other Literatures,Hungarian,
A023B,391,2005,Allied Organization,,_The Second Sex_: Simone de Beauvoir in Theory and in Practice,29-DEC-05,10:15+11:30 a.m.,Simone de Beauvoir Society,French Literature,Twentieth Century,
D038A,279,2005,Division or Discussion Group,,Inside/Out: Psychoanalysis and Deleuze,28-DEC-05,3:30+4:45 p.m.,Psychological Approaches to Literature,General Literature,Literary Criticism and Theory,
D038B,380,2005,Division or Discussion Group,,Inside/Out: Psychoanalysis and Derrida,29-DEC-05,8:30+9:45 a.m.,Psychological Approaches to Literature,General Literature,Literary Criticism and Theory,
D125,184,2005,Division or Discussion Group,,On TV,28-DEC-05,12:00 noon+1:15 p.m.,,,,
D074C,81,2005,Division or Discussion Group,,Stillborn Attempts at a Serious Tradition of Children's Poetry,27-DEC-05,8:45+10:00 p.m.,Children's Literature,General Literature,Children's Literature,
M037B,321,2005,MLA Organization,,Media Spectacles of Disability 2005: _Million Dollar Baby_ and the Schiavo Case,28-DEC-05,7:15+8:30 p.m.,Committee on Disability Issues in the Profession,The Profession,General,
M037C,528,2005,MLA Organization,,Fresh Voices in Disability Studies,29-DEC-05,3:30+4:45 p.m.,Committee on Disability Issues in the Profession,The Profession,General,
A016B,736,2005,Allied Organization,,Computer Literacy: Assessing the Impact of IT on English Literature Teaching and Research,30-DEC-05,12:00 noon+1:15 p.m.,Association for Computers and the Humanities,General Literature,"Electronic Technology (Teaching, Research, and Theory)",
A001B,735,2005,Allied Organization,,Anachronism in Italian Culture since World War II,30-DEC-05,12:00 noon+1:15 p.m.,,,,
M033A,108,2005,MLA Organization,,Dissertation to Book,28-DEC-05,8:30+9:45 a.m.,Committee on the Status of Graduate Students in the Profession,The Profession,General,
M033B,388,2005,MLA Organization,,Graduate Student Teaching and the Culture Wars,29-DEC-05,10:15+11:30 a.m.,Committee on the Status of Graduate Students in the Profession,The Profession,General,
M007B,107,2005,MLA Organization,,Problematic Identities,28-DEC-05,8:30+9:45 a.m.,Committee on the Literatures of People of Color in the United States and Canada,American Literature,General,
M033C,545,2005,MLA Organization,Y,Cash Bar Sponsored by the Committee on the Status of Graduate Students in the Profession,29-DEC-05,5:15+6:30 p.m.,Committee on the Status of Graduate Students in the Profession,The Profession,General,
M017B,31,2005,MLA Organization,,Urban Imaginaries,27-DEC-05,5:15+6:30 p.m.,_PMLA_ Editorial Board,The Profession,Publishing and Editing,
A036C,310,2005,Allied Organization,Y,"Cash Bar, Business Meeting, and Banquet Arranged by the Joseph Conrad Society of America",28-DEC-05,6:00 p.m.,Joseph Conrad Society of America,British Literature,Twentieth Century,
E005,557,2005,Social Event,Y,Reception Arranged by Kent State University,29-DEC-05,5:15+6:30 p.m.,,,,
A071A,559,2005,Allied Organization,Y,Cash Bar Arranged by the Marxist Literary Group,29-DEC-05,5:15+6:30 p.m.,Marxist Literary Group,General Literature,Literary Criticism and Theory,
D067D,560,2005,Division or Discussion Group,Y,Cash Bar Arranged by the Division on Spanish Medieval Language and Literature,29-DEC-05,5:15+6:30 p.m.,Spanish Medieval Language and Literature,Spanish Literature,Medieval and Renaissance,
D034D,555,2005,Division or Discussion Group,Y,Cash Bar Arranged by the Division on European Literary Relations,29-DEC-05,5:15+6:30 p.m.,European Literary Relations,General Literature,Literary Relations,
A113C,170,2005,Allied Organization,Y,Luncheon and Cash Bar Arranged by the Wordsworth-Coleridge Association,28-DEC-05,11:30 a.m.,Wordsworth-Coleridge Association,British Literature,Nineteenth Century,
D037C,477,2005,Division or Discussion Group,,Thinking after Derrida $cII$k: Ethics,29-DEC-05,1:45+3:00 p.m.,Philosophical Approaches to Literature,General Literature,Literary Criticism and Theory,
E008,293,2005,Social Event,Y,Cash Bar Arranged by the _Minnesota Review_,28-DEC-05,5:15+6:30 p.m.,,,,
D084D,303,2005,Division or Discussion Group,Y,Cash Bar Arranged by the Division on Chicana and Chicano Literature,28-DEC-05,5:15+6:30 p.m.,Chicana and Chicano Literature,American Literature,General/Hispanic and Chicano,
E009,294,2005,Social Event,Y,Reception Arranged by the Departments of English and African American Studies at Temple University,28-DEC-05,5:15+6:30 p.m.,,,,
M026A,353,2005,MLA Organization,,Global Contexts for Teaching _Othello_,29-DEC-05,8:30+9:45 a.m.,Publications Committee,The Profession,Publishing and Editing,
M017A,236,2005,MLA Organization,,What Can a Journal Essay Do? A Conversation with _PMLA_ Authors and Advisory Committee and Editorial Board Members,28-DEC-05,1:45+3:00 p.m.,_PMLA_ Editorial Board,The Profession,Publishing and Editing,
D042A,379,2005,Division or Discussion Group,,Discourse and Place,29-DEC-05,8:30+9:45 a.m.,Language and Society,The Teaching of Language and Literature,General,
A120A,737,2005,Allied Organization,,Trans-Pinter,30-DEC-05,12:00 noon+1:15 p.m.,Harold Pinter Society,British Literature,Twentieth Century/post 1940,
M039B,354,2005,MLA Organization,,Will My Course Transfer? Models of Articulation between Two- and Four-Year Colleges and Universities,29-DEC-05,8:30+9:45 a.m.,Committee on Community Colleges,The Profession,General,
M016A,109,2005,MLA Organization,,Interdisciplinary Professional Master's Degrees: Bringing Together Foreign Languages and Professional Programs to Meet the Needs of the Twenty-First Century,28-DEC-05,8:30+9:45 a.m.,Office of Foreign Language Programs,The Teaching of Language and Literature,Foreign Languages,
A061B,285,2005,Allied Organization,,"Loving James, Hating James",28-DEC-05,3:30+4:45 p.m.,Henry James Society,American Literature,Before 1900,
A015A,457,2005,Allied Organization,,Professional Communication $cI$k:  Looking at Our History,29-DEC-05,12:00 noon+1:15 p.m.,,,,
A003A,165,2005,Allied Organization,,Filming Slavic Culture and History,28-DEC-05,10:15+11:30 a.m.,,,,
A087B,722,2005,Allied Organization,,_Eureka_ Once Again,30-DEC-05,12:00 noon+1:15 p.m.,Poe Studies Association,American Literature,Before 1900,
D049B,8,2005,Division or Discussion Group,,The Subject Matter of Composition,27-DEC-05,5:15+6:30 p.m.,the Teaching of Writing,The Teaching of Language and Literature,English and American/Writing,
D067A,417,2005,Division or Discussion Group,,Visual Culture in Medieval Iberia,29-DEC-05,10:15+11:30 a.m.,Spanish Medieval Language and Literature,Spanish Literature,Medieval and Renaissance,
A013A,483,2005,Allied Organization,,Performativity in Eighteenth-Century Theater: Historical Instrumentality or Theoretical Intervention?,29-DEC-05,1:45+3:00 p.m.,American Society for Eighteenth-Century Studies,Comparative Literature,Eighteenth and Nineteenth Centuries,
D062A,578,2005,Division or Discussion Group,,Approaches to Teaching Medieval and Renaissance Italian Literature,29-DEC-05,7:15+8:30 p.m.,,,,
D062B,535,2005,Division or Discussion Group,,Finding the Other Voice in Early Modern Italy,29-DEC-05,3:30+4:45 p.m.,,,,
A113B,760,2005,Allied Organization,,Landmark Works in Romantic Studies $cII$k,30-DEC-05,1:45+3:00 p.m.,Wordsworth-Coleridge Association,British Literature,Nineteenth Century,
A014B,721,2005,Allied Organization,,Réminiscences symbolistes et décadentes chez Gide,30-DEC-05,12:00 noon+1:15 p.m.,Association des Amis d'André Gide,French Literature,Twentieth Century,
D029B,605,2005,Division or Discussion Group,,"Romantic Revolutions in the Twenty-First Century: Politics, Poetics, Markets",29-DEC-05,7:15+8:30 p.m.,the English Romantic Period,British Literature,Nineteenth Century/Romantics,
D073C,281,2005,Division or Discussion Group,,Visual Narratives of the Portuguese-Speaking World,28-DEC-05,3:30+4:45 p.m.,,,,
D013C,239,2005,Division or Discussion Group,,Arab Pop Culture Speaks Back,28-DEC-05,1:45+3:00 p.m.,Popular Culture,General Literature,"Cultural Studies, Folklore, and Popular Culture",
D040A,280,2005,Division or Discussion Group,,Humanity--or the Humanities?,28-DEC-05,3:30+4:45 p.m.,Sociological Approaches to Literature,General Literature,Literary Criticism and Theory,
A011A,717,2005,Allied Organization,,Woody Allen,30-DEC-05,12:00 noon+1:15 p.m.,American Humor Studies Association,American Literature,General,
A011B,395,2005,Allied Organization,,Joke Cycles,29-DEC-05,10:15+11:30 a.m.,American Humor Studies Association,American Literature,General,
D050A,531,2005,Division or Discussion Group,,Faculty Roles in Student Learning beyond the Classroom,29-DEC-05,3:30+4:45 p.m.,Teaching as a Profession,The Teaching of Language and Literature,General,
D053B,33,2005,Division or Discussion Group,,The Prostitute and the Courtesan in Early Modern France,27-DEC-05,5:15+6:30 p.m.,Seventeenth-Century French Literature,French Literature,Seventeenth Century,
D065C,573,2005,Division or Discussion Group,,Urban Sensibilities: Transformations of the City in Latin America,29-DEC-05,7:15+8:30 p.m.,,,,
M026B,32,2005,MLA Organization,,Reading under Siege,27-DEC-05,5:15+6:30 p.m.,Publications Committee,The Profession,Publishing and Editing,
A028B,445,2005,Allied Organization,,Cartooning Life? Graphic Novels and Young Adult Literature,29-DEC-05,12:00 noon+1:15 p.m.,Children's Literature Association,General Literature,Children's Literature,
D051C,164,2005,Division or Discussion Group,,Disciplinary Questions: French Medieval Literature outside French Departments,28-DEC-05,10:15+11:30 a.m.,French Medieval Language and Literature,French Literature,Medieval and Renaissance,
M022A,351,2005,MLA Organization,,Electronic Journals 2005,29-DEC-05,8:30+9:45 a.m.,Committee on Information Technology,General Literature,"Electronic Technology (Teaching, Research, and Theory)",
A058A,758,2005,Allied Organization,,Brecht and/on Television,30-DEC-05,1:45+3:00 p.m.,International Brecht Society,German Literature,Twentieth Century,
M024A,572,2005,MLA Organization,,Report of the Task Force on Evaluating Scholarship for Tenure and Promotion,29-DEC-05,7:15+8:30 p.m.,,,,
A052A,394,2005,Allied Organization,,Marginal and Seminal Hawthorne,29-DEC-05,10:15+11:30 a.m.,Nathaniel Hawthorne Society,American Literature,Before 1900,
D042C,185,2005,Division or Discussion Group,,Representing Dialect,28-DEC-05,12:00 noon+1:15 p.m.,Language and Society,The Teaching of Language and Literature,General,
M020C,82,2005,MLA Organization,,A Mock Interview for Job Seekers in Foreign Languages,27-DEC-05,8:45+10:00 p.m.,ADFL Executive Committee,The Profession,Foreign Languages,
M020A,393,2005,MLA Organization,,Common Cause: Supporting the Humanities in a Time of Crisis,29-DEC-05,10:15+11:30 a.m.,ADFL Executive Committee,The Profession,Foreign Languages,
D063B,150,2005,Division or Discussion Group,,"Teaching the Ottocento: Perspectives, Approaches, and Praxis",28-DEC-05,10:15+11:30 a.m.,,,,
M020B,3,2005,MLA Organization,,A Preconvention Workshop for Job Seekers in Foreign Languages,27-DEC-05,3:30+4:45 p.m.,ADFL Executive Committee,The Profession,Foreign Languages,
A077A,757,2005,Allied Organization,,Morris and Modern Theories,30-DEC-05,1:45+3:00 p.m.,William Morris Society,British Literature,Nineteenth Century,
D054B,619,2005,Division or Discussion Group,,Sex and Music,29-DEC-05,9:00+10:15 p.m.,Eighteenth-Century French Literature,French Literature,Eighteenth and Nineteenth Centuries,
M025A,444,2005,MLA Organization,,Turning to Ethics,29-DEC-05,12:00 noon+1:15 p.m.,Executive Council,The Profession,General,
M022B,443,2005,MLA Organization,,New Technologies of Literary Investigation: Digital Demonstrations,29-DEC-05,12:00 noon+1:15 p.m.,Committee on Information Technology,General Literature,"Electronic Technology (Teaching, Research, and Theory)",
A063B,716,2005,Allied Organization,,Kafka and the Body Politic $cII$k: Individual Texts,30-DEC-05,12:00 noon+1:15 p.m.,Kafka Society of America,German Literature,Twentieth Century,
M023B,,2005,MLA Organization,,Orientation for New Delegates,28-DEC-05,8:00+9:30 a.m.,Delegate Assembly Organizing Committee,The Profession,General,
D008C,698,2005,Division or Discussion Group,,Performing the Impossible $cIII$k: Staging the Absent-Present,30-DEC-05,10:15+11:30 a.m.,Drama,General Literature,Drama,
D009A,664,2005,Division or Discussion Group,,Pillorying and Parodying Washington,30-DEC-05,8:30+9:45 a.m.,Film,General Literature,"Film, Television, and Other Media",
D012A,204,2005,Division or Discussion Group,,Style and Substance $cI$k,28-DEC-05,12:00 noon+1:15 p.m.,Prose Fiction,General Literature,Prose Fiction,
D012B,378,2005,Division or Discussion Group,,Style and Substance $cII$k,29-DEC-05,8:30+9:45 a.m.,Prose Fiction,General Literature,Prose Fiction,
A014A,663,2005,Allied Organization,,"Music, Voices, and Polyphony in Gide",30-DEC-05,8:30+9:45 a.m.,Association des Amis d'André Gide,French Literature,Twentieth Century,
D044B,235,2005,Division or Discussion Group,,Researching Advanced Foreign Language Learning,28-DEC-05,1:45+3:00 p.m.,Applied Linguistics,Linguistics,General,
D020B,431,2005,Division or Discussion Group,,"Literature of the 1950s and Its Legacy $cII$k: Space, Gender, and Power",29-DEC-05,12:00 noon+1:15 p.m.,Twentieth-Century American Literature,American Literature,Twentieth Century,
D020C,149,2005,Division or Discussion Group,,The Poetic Line in the Age of New Media,28-DEC-05,10:15+11:30 a.m.,Twentieth-Century American Literature,American Literature,Twentieth Century,
D028A,355,2005,Division or Discussion Group,,Anecdote,29-DEC-05,8:30+9:45 a.m.,Late-Eighteenth-Century English Literature,British Literature,Late Eighteenth Century,
D028C,228,2005,Division or Discussion Group,,Jane Austen: New Texts and Contexts,28-DEC-05,1:45+3:00 p.m.,Late-Eighteenth-Century English Literature,British Literature,Late Eighteenth Century,
D111,227,2005,Division or Discussion Group,,Lost Innocence: Defining Dutch Liberalism in Times of Political Extremism,28-DEC-05,1:45+3:00 p.m.,Netherlandic Language and Literature,Other Literatures,Netherlandic,
D100,527,2005,Division or Discussion Group,,Hebrew Literature and the Israeli-Palestinian Conflict: Pedagogical Perspectives,29-DEC-05,3:30+4:45 p.m.,Hebrew Literature,Other Literatures,Jewish,
D107,320,2005,Division or Discussion Group,,Bicentennial of American Dictionaries,28-DEC-05,7:15+8:30 p.m.,Lexicography,Linguistics,General,
D132,472,2005,Division or Discussion Group,,Yiddish Literature and Literary Theory?,29-DEC-05,1:45+3:00 p.m.,Yiddish Literature,Other Literatures,Jewish,
A055A,734,2005,Allied Organization,,Elfriede Jelinek,30-DEC-05,12:00 noon+1:15 p.m.,Modern Austrian Literature and Culture Association,German Literature,Twentieth Century,
A103A,226,2005,Allied Organization,,Literary Representations of Historical Medieval Women,28-DEC-05,1:45+3:00 p.m.,Society for Medieval Feminist Scholarship,Comparative Literature,Medieval and Renaissance,
A093A,410,2005,Allied Organization,,Chanson de Geste and Its Survival in Later Genres,29-DEC-05,10:15+11:30 a.m.,"Société Rencesvals, American-Canadian Branch",French Literature,Medieval and Renaissance,
D016B,319,2005,Division or Discussion Group,,East Asian Canon in a Multimedia World,28-DEC-05,7:15+8:30 p.m.,,,,
D016C,455,2005,Division or Discussion Group,,Graphic Discourse in East Asia,29-DEC-05,12:00 noon+1:15 p.m.,,,,
D035A,526,2005,Division or Discussion Group,,Franz Boas and the Harlem Renaissance,29-DEC-05,3:30+4:45 p.m.,Anthropological Approaches to Literature,General Literature,"Themes, Myths, and Archetypes",
D035B,80,2005,Division or Discussion Group,,Colonial Intersections: Between Anthropology and Literature,27-DEC-05,8:45+10:00 p.m.,Anthropological Approaches to Literature,General Literature,"Themes, Myths, and Archetypes",
D105,618,2005,Division or Discussion Group,,Religion and Jewish Cultural Studies?,29-DEC-05,9:00+10:15 p.m.,Jewish Cultural Studies,General Literature,"Cultural Studies, Folklore, and Popular Culture",
D119,225,2005,Division or Discussion Group,,_Don Quixote_ and the Romance-Speaking World: Four Hundred Years,28-DEC-05,1:45+3:00 p.m.,Romance Literary Relations,General Literature,Literary Relations,
D049A,148,2005,Division or Discussion Group,,Alternative Models for Writing Programs: A Critical Conversation,28-DEC-05,10:15+11:30 a.m.,the Teaching of Writing,The Teaching of Language and Literature,English and American/Writing,
D061B,377,2005,Division or Discussion Group,,Rethinking German Film Studies $cII$k: Film History's Blind Spots and Oversights,29-DEC-05,8:30+9:45 a.m.,Twentieth-Century German Literature,German Literature,Twentieth Century,
D027B,106,2005,Division or Discussion Group,,Theorizing Tradition,28-DEC-05,8:30+9:45 a.m.,Restoration and Early-Eighteenth-Century English Literature,British Literature,Restoration and Early Eighteenth Century,
D011A,356,2005,Division or Discussion Group,,"Creoles, Pidgins, and Dialects as a Poetic Strategy",29-DEC-05,8:30+9:45 a.m.,Poetry,General Literature,Poetry,
D116,409,2005,Division or Discussion Group,,Multidirectionality of Linguistic Influence,29-DEC-05,10:15+11:30 a.m.,Present-Day English Language,Linguistics,English and American,
